rank,exact,k2,k4,k6,k8,k10,k12,k14,k16,k18,k20,k22,k24,k26,k28,k30,k32,k34,k36,k38,k40,k42,k44,k46,k48,k50,k52,k54,k56,k58,k60,k62,k64,k66,k68,k70,k72,k74,k76,k78,k80,k82,k84,k86,k88,k90,k92,k94,k96,k98,k100,k102,k104,k106,k108,k110,k112,k114,k116,k118,k120,k122,k124,k126,k128,k130,k132,k134,k136,k138,k140,k142,k144,k146,k148,k150,k152,k154,k156,k158,k160,k162,k164,k166,k168,k170,k172,k174,k176,k178,k180,k182,k184,k186,k188,k190,k192,k194,k196,k198,k200,k4261,k8523
1,hamlet. (353),ici,borner,débat,point,encore,point,débat,point,auquel,étude,ici,raisons,ici,générale,cette,borner,encore,point,hamlet,hamlet,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.,hamlet.
2,plus (294),,ici,spécial,débat,conclure,débat,spécial,débat,borner,plus,,encore,,fournira,étude,ici,conclure,débat,sous,fin,hamlet,hamnet,hamlet,hamlet,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,hamlet.,hamlet.,hamlet.,hamlet.,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus
3,comme (246),,,auquel,spécial,comme,spécial,auquel,spécial,ici,générale,,conclure,,l'espérons,plus,,comme,spécial,lequel,volume,conclure,sadler,encore,hamnet,hamlet,hamlet,hamnet,hamlet,hamlet,premier,premier,hamlet.,hamlet.,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,plus,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme,comme
4,seigneur (218),,,borner,auquel,point,auquel,borner,auquel,,fournira,,comme,,quelques,générale,,point,auquel,jamais,_appendice_,comme,hamlet,conclure,sadler,hamnet,débat,hamlet,ici,premier,hamlet,hamlet,premier,premier,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,plus,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur,seigneur
5,bien (205),,,ici,borner,débat,borner,ici,borner,,l'espérons,,point,,raisons,fournira,,débat,borner,connu,consacré,point,anglaise,comme,tout,sadler,spécial,cette,,hamnet,plus,plus,hamlet,hamlet,premier,premier,premier,premier,premier,premier,premier,premier,premier,premier,premier,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,comme,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,seigneur,seigneur,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien
6,hamlet (192),,,,ici,spécial,ici,,ici,,quelques,,débat,,encore,l'espérons,,spécial,ici,d'ailleurs,comparaison,débat,nom,point,shakspeare,tout,auquel,étude,,sadler,ici,hamnet,plus,plus,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,premier,premier,premier,premier,premier,premier,premier,premier,premier,premier,premier,premier,premier,premier,premier,comme,hamlet,hamlet,hamlet,hamlet,hamlet,seigneur,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,bien,_hamlet_,_hamlet_,_hamlet_,_hamlet_,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet
7,cette (187),,,,,auquel,,,,,raisons,,spécial,,conclure,quelques,,auquel,,lecteur,différents,spécial,sous,débat,l'enfant,l'enfant,borner,plus,,tout,,sadler,hamnet,hamnet,hamnet,enfants,hamnet,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,comme,comme,enfants,comme,comme,comme,comme,comme,comme,comme,comme,premier,premier,premier,seigneur,seigneur,seigneur,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,shakspeare,shakspeare,shakspeare,shakspeare,hamlet,_hamlet_,_hamlet_,_hamlet_,_hamlet_,cette,cette,cette,cette,cette,cette,cette,cette,cette,cette,cette,cette,cette,cette,cette,cette,cette,cette,cette,cette,cette
8,tout (173),,,,,borner,,,,,encore,,auquel,,comme,raisons,,borner,,trouvera,textes,auquel,lequel,spécial,l'orthographe,emprunta,ici,générale,,l'enfant,,tout,sadler,nom,sadler,hamnet,nom,hamnet,hamnet,hamnet,déjà,déjà,déjà,déjà,déjà,déjà,déjà,déjà,déjà,enfants,enfants,comme,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,seigneur,premier,premier,premier,premier,premier,premier,premier,bien,bien,bien,hamlet,hamlet,hamlet,hamlet,shakspeare,shakspeare,shakspeare,shakspeare,cette,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,tout,tout,tout,tout,tout,tout,tout,tout,tout,tout,tout,tout,tout,tout
9,cela (161),,,,,ici,,,,,conclure,,borner,,point,encore,,ici,,fin,_hamlet_,borner,jamais,auquel,anglaise,l'orthographe,,fournira,,nom,,l'enfant,nom,enfants,tout,sadler,enfants,sadler,tout,nom,hamnet,c'est,hamnet,hamnet,hamnet,phrase,hamnet,comme,hamnet,déjà,déjà,déjà,déjà,déjà,déjà,déjà,déjà,déjà,déjà,déjà,déjà,déjà,enfants,cette,cette,cette,cette,cette,cette,cette,premier,premier,premier,premier,premier,premier,premier,premier,premier,cette,cette,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,tout,_hamlet_,_hamlet_,_hamlet_,_hamlet_,_hamlet_,cela,cela,cela,cela,cela,cela,cela,cela,cela
10,fait (156),,,,,,,,,,comme,,ici,,débat,conclure,,,,volume,cette,ici,connu,borner,nom,anglaise,,l'espérons,,volume,,anglaise,étude,sadler,l'enfant,voir,déjà,tout,nom,déjà,sadler,hamnet,sadler,nom,sadler,c'est,sadler,hamnet,nom,hamnet,hamnet,hamnet,phrase,phrase,hamnet,saint-paul,phrase,saint-paul,phrase,phrase,phrase,cette,déjà,enfants,enfants,enfants,enfants,bien,bien,bien,cette,cette,cette,cette,cette,cette,cette,cette,cette,premier,premier,premier,premier,premier,premier,premier,premier,tout,shakspeare,shakspeare,shakspeare,shakspeare,shakspeare,cela,_hamlet_,_hamlet_,_hamlet_,fait,fait,fait,fait,fait,fait
